domain,tier,multiplier,bids,views,clicks,shrunk_rate
mytastedz.com,insufficient_data,1.0,1,0,0,0.076994
myruler.co.uk,insufficient_data,1.0,4,0,0,0.070201
mysavorytwist.com,insufficient_data,1.0,21,4,4,0.125232
mysillysquirts.com,insufficient_data,1.0,26,1,1,0.060479
mysnakepet.com,insufficient_data,1.0,1,0,0,0.076994
mystayathomeadventures.com,insufficient_data,1.0,23,0,0,0.045034
mysugarfreekitchen.com,insufficient_data,1.0,12,0,0,0.056829
mysweetprecision.com,insufficient_data,1.0,28,0,0,0.041152
mytableofthree.com,insufficient_data,1.0,6,0,0,0.066301
naildesigncode.com,insufficient_data,1.0,2,0,0,0.074588
naildesignsjournal.com,insufficient_data,1.0,1,0,0,0.076994
nailhow.com,insufficient_data,1.0,1,0,0,0.076994
neilshealthymeals.com,insufficient_data,1.0,7,0,0,0.064509
nbcrightnow.com,insufficient_data,1.0,28,0,0,0.041152
ncangler.com,insufficient_data,1.0,1,0,0,0.076994
nceatandplay.com,insufficient_data,1.0,5,0,0,0.068195
ncosupport.com,insufficient_data,1.0,3,0,0,0.072328
nctripping.com,insufficient_data,1.0,29,0,0,0.040455
neal.fun,insufficient_data,1.0,1,0,0,0.076994
neathousesweethome.com,insufficient_data,1.0,6,0,0,0.066301
nedluddpdx.com,insufficient_data,1.0,3,0,0,0.072328
nelidesign.com,insufficient_data,1.0,5,0,0,0.068195
namegeneratorfun.com,insufficient_data,1.0,1,0,0,0.076994
neonmusic.co.uk,insufficient_data,1.0,4,1,1,0.099612
nepyork.com,insufficient_data,1.0,2,1,1,0.105838
nerdable.com,insufficient_data,1.0,1,0,0,0.076994
nerdschalk.com,insufficient_data,1.0,16,0,0,0.051887
nerdymamma.com,insufficient_data,1.0,17,1,1,0.07206
nerdytechblog.com,insufficient_data,1.0,2,0,0,0.074588
nesmaps.com,insufficient_data,1.0,9,0,0,0.061201
nestandglow.com,insufficient_data,1.0,6,0,0,0.066301
nbc4i.com,insufficient_data,1.0,10,2,2,0.109671
nbc24.com,insufficient_data,1.0,15,0,0,0.053041
nazninskitchen.com,insufficient_data,1.0,5,1,1,0.096766
nautil.us,insufficient_data,1.0,27,4,4,0.11205
namelymarly.com,insufficient_data,1.0,15,0,0,0.053041
namescrunch.com,insufficient_data,1.0,1,0,0,0.076994
nancy.cc,insufficient_data,1.0,12,5,5,0.175877
naplesfloridatravelguide.com,insufficient_data,1.0,1,0,0,0.076994
nashvilletodo.com,insufficient_data,1.0,4,0,0,0.070201
natalielinda.com,insufficient_data,1.0,3,0,0,0.072328
natalieyerger.com,insufficient_data,1.0,2,1,1,0.105838
natashassouthernflavor.com,insufficient_data,1.0,7,1,1,0.091536
nationalanimalnews.com,insufficient_data,1.0,25,0,0,0.043397
nationaldaycalendar.com,insufficient_data,1.0,18,2,2,0.091392
nationalgunforum.com,insufficient_data,1.0,2,0,0,0.074588
nationalreview.com,insufficient_data,1.0,5,0,0,0.068195
nativebackyards.com,insufficient_data,1.0,3,0,0,0.072328
naturalbabymama.com,insufficient_data,1.0,5,0,0,0.068195
naturalbirthandbabycare.com,insufficient_data,1.0,1,0,0,0.076994
naturallyella.com,insufficient_data,1.0,10,1,1,0.084671
natureword.com,insufficient_data,1.0,4,0,0,0.070201
mypursestrings.com,insufficient_data,1.0,23,0,0,0.045034
mypureplants.com,insufficient_data,1.0,2,1,1,0.105838
myproductivebackyard.com,insufficient_data,1.0,4,0,0,0.070201
myfoodplans.com,insufficient_data,1.0,10,1,1,0.084671
myfamilyaid.com,insufficient_data,1.0,3,0,0,0.072328
myfamilydinnerideas.com,insufficient_data,1.0,1,0,0,0.076994
myfastrecipe.com,insufficient_data,1.0,10,0,0,0.059671
myfavouriteescapes.com,insufficient_data,1.0,4,0,0,0.070201
myfermentedfoods.com,insufficient_data,1.0,5,1,1,0.096766
myfindsonline.com,insufficient_data,1.0,1,0,0,0.076994
myflavorrecipes.com,insufficient_data,1.0,4,0,0,0.070201
myfooddata.com,insufficient_data,1.0,15,1,1,0.075263
myforecast.co,insufficient_data,1.0,24,0,0,0.0442
myhematology.com,insufficient_data,1.0,1,0,0,0.076994
myfox8.com,insufficient_data,1.0,7,0,0,0.064509
myfrenchtwist.com,insufficient_data,1.0,5,0,0,0.068195
myfussyeater.com,insufficient_data,1.0,9,0,0,0.061201
mygermanyvacation.com,insufficient_data,1.0,2,0,0,0.074588
mygingergarlickitchen.com,insufficient_data,1.0,15,1,1,0.075263
mygoldenrecipes.com,insufficient_data,1.0,7,1,1,0.091536
mygourmetconnection.com,insufficient_data,1.0,9,0,0,0.061201
mosthungry.com,insufficient_data,1.0,17,0,0,0.050784
myeverydayordinarylife.com,insufficient_data,1.0,6,0,0,0.066301
myeclectictreasures.com,insufficient_data,1.0,13,1,1,0.078763
mydomesticchurch.com,insufficient_data,1.0,1,0,0,0.076994
mydomaine.com,insufficient_data,1.0,3,0,0,0.072328
mycookiejourney.com,insufficient_data,1.0,6,0,0,0.066301
mycookingjourney.com,insufficient_data,1.0,19,0,0,0.048711
mycrashtestlife.com,insufficient_data,1.0,11,2,2,0.106996
